"DATE","WDSP","VISIB","TEMP","DEWP","SLP"
20230101,2.6,8,0,-1.7,1011.7
20230102,1.5,16.09,1.7,-1.7,1017.4
20230103,3.6,11,-0.6,-2.2,1016.7
20230104,4.1,1.6,2.8,1.7,1002.7
20230105,2.1,4,0,-1.7,1007.1
20230106,2.6,16.09,0.6,-2.2,1013.7
20230107,2.1,16,-5.6,-8.9,1024.5
20230108,2.6,16,-5.6,-7.8,1031
20230109,1.5,16,-3.3,-5.6,1022.4
20230110,4.1,14,2.8,-1.1,1014.6
20230111,2.6,6.44,-1.1,-2.2,1010.2
20230112,1.5,11,2.8,0,1010
20230113,4.1,16,1.1,-2.2,1020.1
20230114,3.6,16,-4.4,-8.9,1028.1
20230115,3.6,16,-2.2,-5.6,1021.7
20230116,9.3,16,3.3,-3.3,1012.3
20230117,4.6,3.2,5,4.4,996.3
20230118,3.6,16,2.2,-0.6,1007.2
20230119,5.1,16,1.1,-2.2,1013.9
20230120,2.6,14,1.1,-0.6,1003.4
20230121,2.6,16,-2.8,-7.2,1022.3
20230122,1.5,16.09,-5.6,-7.8,1017.9
20230123,3.6,16,-6.1,-8.3,1014.6
20230124,4.6,16,-3.3,-7.8,1016.5
20230125,1.5,14.48,-1.7,-3.9,1018.5
20230126,1.5,2.41,-0.6,-2.2,1009.3
20230127,1.5,16,-3.9,-7.8,1015
20230128,3.6,16.09,-6.7,-11.7,1013.4
20230129,5.1,4,-9.4,-12.2,1022.1
20230130,2.1,16,-10,-17.8,1027.6
20230131,1.5,16.09,-19.4,-23.9,1032
20230201,2.6,16,-15,-21.7,1028.1
20230202,1.5,16,-6.1,-13.3,1023.7
20230203,3.1,16,-10,-20.6,1026.6
20230204,3.1,16,-15,-23.9,1035.3
20230205,2.1,16,0,-5,1012.8
20230206,2.1,12.88,-6.1,-8.9,1021.5
20230207,9.3,16,3.9,-3.3,1009.6
20230208,3.1,16,2.2,-5,1020.1
20230209,2.1,16,5,-3.3,1020.5
20230210,3.6,16,2.2,0,1012
20230211,2.1,16.09,-6.1,-10.6,1028.4
20230212,3.1,16,2.8,-8.3,1021.9
20230213,2.1,16,4.4,-3.9,1010.5
20230214,2.1,16.09,3.3,-4.4,1011.6
20230215,7.7,16,7.2,3.9,996.2
20230216,2.1,16,0.6,-3.9,1014.7
20230217,7.7,0.8,-5,-7.2,1017.2
20230218,4.1,16,-6.1,-13.9,1024.4
20230219,3.1,16,1.1,-5,1017.8
20230220,4.1,16.09,5,-3.9,1009.6
20230221,2.6,16,5,-3.3,1002.1
20230222,3.1,3.2,-3.3,-7.8,1010.2
20230223,8.2,2,-1.7,-3.9,1005
20230224,3.6,14,-4.4,-8.3,1021.9
20230225,2.6,16,-6.1,-12.8,1035.8
20230226,3.1,16,0,-6.1,1017.2
20230227,3.1,16,1.7,-7.2,1012.2
20230228,4.1,6,1.1,0,995.3
20230301,2.6,16,4.4,-2.2,1010.7
20230302,4.6,16.09,6.1,-1.7,1008.3
20230303,1.5,16.09,1.1,-5,1014.9
20230304,3.6,12,2.2,-1.7,1002.3
20230305,1.5,16,3.9,0.6,1015.5
20230306,6.7,16,6.1,-2.2,1019.7
20230307,4.1,8,1.7,0.6,1018.1
20230308,3.6,16,3.3,-8.3,1033
20230309,5.7,16,4.4,-9.4,1031
20230310,4.1,0.8,-0.6,-2.2,1022.9
20230311,4.6,16,0,-3.9,1021.6
20230312,5.1,16,0.6,-3.3,1016
20230313,4.1,14.48,-1.1,-6.7,1012.8
20230314,4.1,16,-2.2,-9.4,1024.1
20230315,2.6,16,-1.7,-10,1027.4
20230316,5.1,16,7.8,0,1014.5
20230317,2.6,8,6.1,5,999.7
20230318,3.6,16,-4.4,-12.8,1010.7
20230319,3.1,16.09,-5,-13.9,1021.8
